Country,Official language
 Abkhazia,"Abkhaz
Russian"
Afghanistan,"Pashto
Dari"
Albania,Albanian
Algeria,"Arabic
Tamazight"
 Andorra,Catalan
Angola,Portuguese
 Antigua and Barbuda,English
 Argentina,Spanish
 Armenia,Armenian
 Artsakh,"Armenian
Russian"
 Australia,English
Austria,German
 Azerbaijan,Azerbaijani
 Bahamas,English
 Bahrain,Arabic
 Bangladesh,Bengali
 Barbados,English
 Belarus,"Belarusian
Russian"
 Belgium,"Dutch
French
German"
 Belize,English
 Benin,French
 Bhutan,Dzongkha
Bolivia,Spanish
 Bosnia and Herzegovina,"Bosnian Croatian Serbian"
 Botswana,English
 Brazil,Portuguese
 Brunei,"Malay
English"
 Bulgaria,Bulgarian
 Burkina Faso,French
Burundi,"French
Kirundi
English"
 Cambodia,Khmer
 Cameroon,"English
French"
 Canada,"English
French"
 Cape Verde,Portuguese
 Central African Republic,"French
Sango"
 Chad,"Arabic
French"
 Chile,Chilean Spanish
 China,Chinese
 Christmas Island,"English Chinese Malay"
 Cocos (Keeling) Islands,"English Cocos Malay"
 Colombia,Spanish
 Comoros,"Arabic
Comorian
French"
 Democratic Republic of the Congo,French
 Republic of the Congo,French
 Cook Islands,"English, Cook Islands Māori"
 Costa Rica,Spanish
 Croatia,Croatian
 Cuba,Spanish
 Cyprus,"Greek
Turkish"
 Czech Republic,"Czech
Slovak"
 Denmark,Danish
 Djibouti,"Arabic
French"
 Dominica,English
 Dominican Republic,Spanish
 East Timor,"Portuguese
Tetum"
Ecuador,"Spanish
Quechua (official language of intercultural relation)"
 Egypt,Arabic
 El Salvador,Spanish
 Equatorial Guinea,"French
Portuguese
Spanish"
 Eritrea,Tigrinya
 Estonia,Estonian
 Eswatini,"English
Swazi"
 Ethiopia,"Afar
Amharic
Oromo
Somali
Tigrinya"
 Fiji,"English
Fijian
Fiji Hindi"
 Finland,"Finnish
Swedish"
 France,French
 Gabon,French
 Gambia,English
 Georgia,Georgian
 Germany,German
 Ghana,English
 Greece,Greek
 Grenada,English
